job_id,source,country,url,job_title,parsed_title,company,location,posted_date,seniority,min_years_exp,employment_type,remote_status,salary_min_annual,salary_max_annual,hard_skills,soft_skills,education,job_category
4314044699,LinkedIn,UK,https://www.linkedin.com/jobs/view/4314044699,Junior Software Engineer,Junior Software Engineer,Tripadvisor,"London, England, United Kingdom",2026-04-21,junior,,full-time,hybrid,,,"Java, React, TypeScript, GraphQL, Kubernetes, SQL, NoSQL, AWS, C#, C++, object-oriented language, full-stack, backend, front end development, software design, code review, testing, deployment, release management","versatility, collaboration, ownership, eagerness to learn",bachelor,software-eng
4402951771,LinkedIn,UK,https://www.linkedin.com/jobs/view/4402951771,Graduate Software Engineer,Graduate Software Engineer,Dexory,"Wallingford, England, United Kingdom",2026-04-16,junior,0.0,full-time,unknown,,,"Python, Git, Linux, C++, robotics, real-time systems, PyTorch, TensorFlow, computer vision, machine learning, ML pipelines, point cloud data, Docker, CI/CD, cloud infrastructure, motion planning, safety-critical software, system design, testing, deployment","collaboration, problem-solving, growth mindset, architectural thinking, curiosity, ownership",bachelor,software-eng
4379662791,LinkedIn,UK,https://www.linkedin.com/jobs/view/4379662791,"Software Engineer, New Grad","Software Engineer, New Grad",Deliveroo,"London, England, United Kingdom",2026-04-17,junior,0.0,full-time,unknown,,,"Go, Ruby, Python, Scala, Ruby on Rails, Rust, relational databases, PostgreSQL, MySQL, web-based applications, architecture, system design, testing, code review","ownership, collaboration, problem-solving, technical curiosity, mentorship, knowledge sharing",bachelor,software-eng
4408604287,LinkedIn,UK,https://www.linkedin.com/jobs/view/4408604287,Graduate software engineer,Graduate software engineer,Meetup,"London, England, United Kingdom",2026-05-04,junior,0.0,full-time,unknown,,,"AI, monoliths, microservices, gRPC, REST, Kubernetes, Docker, Python, Rust, system design, architecture, testing, documentation","ownership, problem-solving, critical thinking, collaboration, drive, impact-focused",unknown,software-eng
4408607185,LinkedIn,UK,https://www.linkedin.com/jobs/view/4408607185,Graduate software engineer,Graduate software engineer,Evernote,"London, England, United Kingdom",2026-05-04,junior,0.0,full-time,unknown,,,"AI, monoliths, microservices, gRPC, REST, Kubernetes, Docker, Python, Rust, system design, architecture, testing, documentation","ownership, problem-solving, critical thinking, collaboration, drive, impact-focused",unknown,software-eng
4406452592,LinkedIn,UK,https://www.linkedin.com/jobs/view/4406452592,Junior Software Developer,Junior Software Developer,Linnworks,"West Sussex, England, United Kingdom",2026-04-30,junior,0.0,full-time,hybrid,,,"testing, documentation, version control, code review, pair programming, system design","growth mindset, collaboration, communication, proactivity, seeking feedback",unknown,software-eng
4403886124,LinkedIn,UK,https://www.linkedin.com/jobs/view/4403886124,Junior Software Engineer,Junior Software Engineer,InfoSum,"Basingstoke, England, United Kingdom",2026-04-19,junior,1.0,full-time,unknown,,,"Go, TypeScript, Python, React, microservices, data pipelines, Git, REST, Linux, Kubernetes, Docker, Terraform, Grafana, Prometheus, OpenTelemetry, Postgres, software debugging, unit testing, integration testing, peer reviews, pair programming, documentation","curiosity, confidence, knowledge-sharing, collaboration",unknown,software-eng
4406958979,LinkedIn,UK,https://www.linkedin.com/jobs/view/4406958979,Software Engineer,Software Engineer,Zego,"London Area, United Kingdom",2026-04-29,junior,,full-time,unknown,,,"backend, testing, code review, pair programming, AI, Python, data structures, algorithms, OOP, version control","growth mindset, curiosity, initiative, communication, ownership, seeking feedback",unknown,software-eng
4399855736,LinkedIn,UK,https://www.linkedin.com/jobs/view/4399855736,Full Stack Software Developer,Full Stack Software Developer,MAGIC AI,"London, England, United Kingdom",2026-04-09,mid,,full-time,hybrid,50000.0,85000.0,"AI, full stack, computer vision, web applications, mobile development, JIRA, Agile, Scrum, AWS, SAM, CloudFormation, Lambda, API Gateway, DynamoDB, S3, Flutter","communication, attention to detail, collaboration, ownership, autonomy, passion",unknown,software-eng
4408337192,LinkedIn,UK,https://www.linkedin.com/jobs/view/4408337192,Software Engineer / Developer,Software Engineer / Developer,UK Startup Jobs,"London, England, United Kingdom",2026-05-02,mid,2.0,full-time,hybrid,,,"Python, Django, PostgreSQL, SQL, REST APIs, cloud infrastructure, AWS, GCP, AI, ML, data pipelines, API integration, system design, testing, deployment, monitoring","ownership, speed, pragmatism, problem-solving",unknown,software-eng
