skills_extracted_llm,job_count,demand_pct
javascript,8,0.14765596160944996
java,8,0.14765596160944996
agile,7,0.12919896640826875
python,7,0.12919896640826875
automation,7,0.12919896640826875
data structures,6,0.11074197120708748
root cause analysis,6,0.11074197120708748
algorithms,6,0.11074197120708748
reactjs,6,0.11074197120708748
responsive design,5,0.09228497600590624
html5,5,0.09228497600590624
itil,5,0.09228497600590624
ci/cd,5,0.09228497600590624
change management,5,0.09228497600590624
css3,5,0.09228497600590624
incident management,5,0.09228497600590624
problem management,5,0.09228497600590624
networking,4,0.07382798080472498
oop,4,0.07382798080472498
cybersecurity,4,0.07382798080472498
observability,4,0.07382798080472498
sla management,4,0.07382798080472498
mysql,4,0.07382798080472498
redis,4,0.07382798080472498
caching,3,0.05537098560354374
jira,3,0.05537098560354374
knowledge management,3,0.05537098560354374
c++,3,0.05537098560354374
linux,3,0.05537098560354374
siem,3,0.05537098560354374
sql,3,0.05537098560354374
ios,3,0.05537098560354374
software development,3,0.05537098560354374
backend development,3,0.05537098560354374
databases,3,0.05537098560354374
docker,3,0.05537098560354374
restful apis,3,0.05537098560354374
es6+,3,0.05537098560354374
rca,3,0.05537098560354374
nosql,3,0.05537098560354374
git,3,0.05537098560354374
typescript,3,0.05537098560354374
vulnerability management,3,0.05537098560354374
unit testing,3,0.05537098560354374
machine learning,2,0.03691399040236249
electrical engineering,2,0.03691399040236249
soc,2,0.03691399040236249
software architecture,2,0.03691399040236249
restful api,2,0.03691399040236249
project management,2,0.03691399040236249
software engineering,2,0.03691399040236249
es5,2,0.03691399040236249
csrf,2,0.03691399040236249
continuous integration,2,0.03691399040236249
ips,2,0.03691399040236249
continuous delivery,2,0.03691399040236249
iso 20000,2,0.03691399040236249
prometheus,2,0.03691399040236249
iso 27001,2,0.03691399040236249
csp,2,0.03691399040236249
maintenance,2,0.03691399040236249
grafana,2,0.03691399040236249
troubleshooting,2,0.03691399040236249
memory management,2,0.03691399040236249
service management,2,0.03691399040236249
data injection attacks,2,0.03691399040236249
mvc,2,0.03691399040236249
performance optimization,2,0.03691399040236249
mvvm,2,0.03691399040236249
distributed systems,2,0.03691399040236249
immutability,2,0.03691399040236249
scss,2,0.03691399040236249
dba,2,0.03691399040236249
scrum,2,0.03691399040236249
sass,2,0.03691399040236249
iis,2,0.03691399040236249
state management,2,0.03691399040236249
grpc,2,0.03691399040236249
computer architecture,2,0.03691399040236249
uikit,2,0.03691399040236249
artificial intelligence,2,0.03691399040236249
component-based architecture,2,0.03691399040236249
functional programming,2,0.03691399040236249
network security,2,0.03691399040236249
govtech ocp,2,0.03691399040236249
asset management,2,0.03691399040236249
objective-c,2,0.03691399040236249
cab,2,0.03691399040236249
jenkins,2,0.03691399040236249
ui libraries,2,0.03691399040236249
raci,2,0.03691399040236249
networks,2,0.03691399040236249
nodejs,2,0.03691399040236249
kpi management,2,0.03691399040236249
noc,2,0.03691399040236249
kubernetes,2,0.03691399040236249
cissp,2,0.03691399040236249
xss,2,0.03691399040236249
network management,2,0.03691399040236249
react,2,0.03691399040236249
redux,2,0.03691399040236249
swift,2,0.03691399040236249
swiftui,2,0.03691399040236249
mongodb,2,0.03691399040236249
govtech ora,2,0.03691399040236249
systems engineering,2,0.03691399040236249
modularization,2,0.03691399040236249
design patterns,2,0.03691399040236249
javascript code injection,2,0.03691399040236249
cloud,2,0.03691399040236249
product analytics,1,0.018456995201181246
privilege escalation,1,0.018456995201181246
pytorch,1,0.018456995201181246
prompt engineering,1,0.018456995201181246
mssql,1,0.018456995201181246
product-centric development,1,0.018456995201181246
powershell,1,0.018456995201181246
predictive analytics,1,0.018456995201181246
privileged access management,1,0.018456995201181246
motion systems,1,0.018456995201181246
monitoring,1,0.018456995201181246
proactive monitoring,1,0.018456995201181246
product management,1,0.018456995201181246
prototyping,1,0.018456995201181246
product architecture,1,0.018456995201181246
