hard_skills,job_count,demand_pct
Python,246,12.3
Java,187,9.35
CI/CD,180,9.0
AWS,169,8.450000000000001
JavaScript,136,6.800000000000001
Git,120,6.0
SQL,118,5.8999999999999995
Kubernetes,108,5.4
Docker,107,5.35
React,100,5.0
DevOps,94,4.7
TypeScript,90,4.5
MySQL,83,4.15
Azure,78,3.9
Terraform,76,3.8
AI,73,3.65
PostgreSQL,70,3.5000000000000004
RESTful APIs,63,3.15
Cybersecurity,62,3.1
Linux,62,3.1
HTML,62,3.1
CSS,60,3.0
Node.js,60,3.0
Machine learning,57,2.85
Microservices,57,2.85
Angular,57,2.85
Machine Learning,56,2.8000000000000003
C++,54,2.7
C#,51,2.55
Jenkins,51,2.55
Data analysis,45,2.25
Ansible,43,2.15
Kafka,43,2.15
CI/CD pipelines,41,2.0500000000000003
Distributed systems,41,2.0500000000000003
Automation,41,2.0500000000000003
MongoDB,40,2.0
Redis,38,1.9
GCP,38,1.9
API development,38,1.9
Spring Boot,36,1.7999999999999998
.NET,36,1.7999999999999998
NoSQL,35,1.7500000000000002
Kotlin,35,1.7500000000000002
Swift,34,1.7000000000000002
Software development,33,1.6500000000000001
Generative AI,32,1.6
DevSecOps,32,1.6
Go,32,1.6
Data engineering,31,1.55
REST APIs,31,1.55
Software engineering,30,1.5
Golang,30,1.5
HTML5,30,1.5
Agile,29,1.4500000000000002
Jira,29,1.4500000000000002
JSON,29,1.4500000000000002
PHP,28,1.4000000000000001
Next.js,27,1.35
Bash,27,1.35
Data modeling,27,1.35
Android development,26,1.3
Cloud infrastructure,26,1.3
APIs,26,1.3
ReactJS,25,1.25
MVVM,25,1.25
iOS development,25,1.25
Data pipelines,25,1.25
Unit testing,25,1.25
CSS3,25,1.25
Networking,24,1.2
LLMs,24,1.2
Vue,24,1.2
Backend development,23,1.15
SQL Server,23,1.15
Ruby on Rails,22,1.0999999999999999
GraphQL,21,1.05
GitHub Actions,21,1.05
Prototyping,21,1.05
Infrastructure as Code,21,1.05
Android,21,1.05
Prometheus,20,1.0
React Native,20,1.0
Objective-C,20,1.0
AI tools,20,1.0
iOS,20,1.0
ETL,20,1.0
API integration,20,1.0
Elixir,20,1.0
AI/ML,19,0.95
LLM,19,0.95
Salesforce CRM,18,0.8999999999999999
System design,18,0.8999999999999999
Grafana,18,0.8999999999999999
Security,18,0.8999999999999999
Debugging,18,0.8999999999999999
FastAPI,18,0.8999999999999999
PowerShell,18,0.8999999999999999
Azure DevOps,18,0.8999999999999999
NLP,18,0.8999999999999999
Javascript,18,0.8999999999999999
Web development,18,0.8999999999999999
Vue.js,18,0.8999999999999999
Spark,18,0.8999999999999999
GitHub,17,0.8500000000000001
React.js,17,0.8500000000000001
Spring,17,0.8500000000000001
REST,17,0.8500000000000001
Selenium,17,0.8500000000000001
Analytics,17,0.8500000000000001
API testing,17,0.8500000000000001
Automated testing,16,0.8
Playwright,16,0.8
Full stack development,16,0.8
CloudFormation,16,0.8
IAM,16,0.8
MVC,16,0.8
GitLab CI,16,0.8
C,16,0.8
Containerization,16,0.8
Flutter,16,0.8
GitLab,16,0.8
NodeJS,16,0.8
Software Engineering,16,0.8
Salesforce,16,0.8
Software testing,15,0.75
Performance optimization,15,0.75
Artificial Intelligence,15,0.75
Windows Server,15,0.75
API design,15,0.75
PyTorch,15,0.75
Data analytics,15,0.75
Agile/Scrum,15,0.75
Electrical engineering,15,0.75
S3,15,0.75
Big Data,14,0.7000000000000001
Elasticsearch,14,0.7000000000000001
REST API,14,0.7000000000000001
Oracle,14,0.7000000000000001
Cloud,14,0.7000000000000001
Cloud platforms,14,0.7000000000000001
UIKit,14,0.7000000000000001
Data Engineering,14,0.7000000000000001
Algorithms,14,0.7000000000000001
Cloud computing,14,0.7000000000000001
cybersecurity,14,0.7000000000000001
SRE,14,0.7000000000000001
Redux,14,0.7000000000000001
Storage,14,0.7000000000000001
Monitoring,13,0.65
Xcode,13,0.65
Performance testing,13,0.65
Test automation,13,0.65
Testing,13,0.65
Manual testing,13,0.65
OOP,13,0.65
Data Science,13,0.65
Laravel,13,0.65
MLOps,13,0.65
Troubleshooting,13,0.65
GenAI,13,0.65
SIEM,13,0.65
.NET Core,13,0.65
Software design,12,0.6
Splunk,12,0.6
Airflow,12,0.6
Data center infrastructure,12,0.6
Frontend development,12,0.6
Data science,12,0.6
Integration testing,12,0.6
Network security,12,0.6
Deep Learning,12,0.6
Figma,12,0.6
SaaS,12,0.6
Flask,12,0.6
Database management,12,0.6
Natural language processing,12,0.6
Bootstrap,12,0.6
Automation testing,12,0.6
JIRA,12,0.6
Data structures,12,0.6
Google Cloud,12,0.6
UI/UX design,12,0.6
Mobile development,11,0.5499999999999999
networking,11,0.5499999999999999
UX design,11,0.5499999999999999
EKS,11,0.5499999999999999
Google Cloud Platform,11,0.5499999999999999
Hibernate,11,0.5499999999999999
TCP/IP,11,0.5499999999999999
Webpack,11,0.5499999999999999
System architecture,11,0.5499999999999999
TensorFlow,11,0.5499999999999999
Firebase,11,0.5499999999999999
Deep learning,11,0.5499999999999999
Hadoop,11,0.5499999999999999
IT infrastructure,11,0.5499999999999999
jQuery,11,0.5499999999999999
Risk management,11,0.5499999999999999
Project management,11,0.5499999999999999
IoT,11,0.5499999999999999
Agile methodology,10,0.5
Coding,10,0.5
Data governance,10,0.5
Active Directory,10,0.5
EC2,10,0.5
Cloud architecture,10,0.5
Clean Architecture,10,0.5
SDLC,10,0.5
SVN,10,0.5
Django,10,0.5
Full-stack development,10,0.5
Software architecture,10,0.5
machine learning,10,0.5
Snowflake,10,0.5
TypeORM,10,0.5
Infrastructure as Code (IaC),10,0.5
distributed systems,10,0.5
Data collection,10,0.5
Scala,10,0.5
Postgres,10,0.5
Hive,9,0.44999999999999996
Full Stack Development,9,0.44999999999999996
JWT,9,0.44999999999999996
XML,9,0.44999999999999996
Observability,9,0.44999999999999996
AutoCAD,9,0.44999999999999996
Power BI,9,0.44999999999999996
Scrum,9,0.44999999999999996
unit testing,9,0.44999999999999996
Functional testing,9,0.44999999999999996
Version control,9,0.44999999999999996
Typescript,9,0.44999999999999996
Data visualization,9,0.44999999999999996
cloud infrastructure,9,0.44999999999999996
Cypress,9,0.44999999999999996
Rust,9,0.44999999999999996
Gradle,9,0.44999999999999996
IaC,9,0.44999999999999996
PySpark,9,0.44999999999999996
Unity,9,0.44999999999999996
Front-end development,9,0.44999999999999996
J2EE,8,0.4
JUnit,8,0.4
Infrastructure design,8,0.4
Quality assurance,8,0.4
Auto Layout,8,0.4
SAP Business Data Cloud,8,0.4
SAP BW,8,0.4
SAP BI,8,0.4
Application development,8,0.4
SAC Planning,8,0.4
Robotics,8,0.4
Prompt engineering,8,0.4
SAP Datasphere,8,0.4
OAuth2,8,0.4
Bitbucket,8,0.4
C/C++,8,0.4
Data architecture,8,0.4
DNS,8,0.4
User research,8,0.4
